"yf-u4m6f0","yf-u4m6f0 2","yf-u4m6f0 3","yf-u4m6f0 4","yf-u4m6f0 5","yf-u4m6f0 6","yf-u4m6f0 7"
"Sep 4, 2025","7,873.84","7,899.80","7,855.74","7,867.35","7,867.35","362,349,800"
"Sep 3, 2025","7,843.63","7,911.62","7,840.75","7,885.86","7,885.86","351,685,500"
"Sep 2, 2025","7,771.33","7,842.30","7,771.33","7,801.58","7,801.58","347,812,700"
"Sep 1, 2025","7,620.10","7,783.42","7,547.56","7,736.07","7,736.07","358,661,000"
"Aug 29, 2025","7,899.89","7,913.86","7,765.60","7,830.49","7,830.49","481,348,100"
"Aug 28, 2025","7,951.87","8,022.76","7,941.94","7,952.09","7,952.09","399,326,600"
"Aug 27, 2025","7,923.00","7,945.44","7,894.76","7,936.18","7,936.18","357,580,800"
"Aug 26, 2025","7,971.79","7,978.07","7,881.21","7,905.76","7,905.76","504,946,100"
"Aug 25, 2025","7,921.02","7,951.98","7,915.05","7,926.91","7,926.91","376,267,300"
"Aug 22, 2025","7,910.10","7,913.39","7,858.85","7,858.85","7,858.85","320,227,000"
"Aug 21, 2025","7,903.29","7,932.31","7,848.88","7,890.71","7,890.71","341,447,000"
"Aug 20, 2025","7,874.90","7,952.34","7,863.86","7,943.83","7,943.83","374,993,100"
"Aug 19, 2025","7,905.35","7,931.76","7,854.10","7,862.95","7,862.95","358,268,400"
"Aug 15, 2025","7,967.77","8,017.07","7,898.37","7,898.38","7,898.38","346,947,400"
"Aug 14, 2025","7,909.02","7,973.98","7,905.55","7,931.25","7,931.25","361,821,900"
"Aug 13, 2025","7,846.12","7,903.05","7,835.30","7,892.91","7,892.91","323,979,600"
"Aug 12, 2025","7,666.09","7,800.83","7,646.91","7,791.70","7,791.70","272,446,300"
"Aug 11, 2025","7,589.46","7,630.11","7,559.35","7,605.92","7,605.92","238,319,300"
"Aug 8, 2025","7,639.19","7,648.90","7,516.98","7,533.38","7,533.38","234,779,100"
"Aug 7, 2025","7,546.34","7,580.55","7,490.18","7,490.18","7,490.18","278,225,900"
"Aug 6, 2025","7,534.45","7,549.27","7,502.01","7,503.75","7,503.75","260,371,600"
"Aug 5, 2025","7,502.69","7,546.94","7,463.06","7,515.19","7,515.19","246,898,000"
"Aug 4, 2025","7,552.50","7,560.06","7,448.04","7,464.65","7,464.65","266,636,100"
"Aug 1, 2025","7,545.15","7,579.61","7,523.62","7,537.77","7,537.77","257,331,800"
"Jul 31, 2025","7,551.24","7,566.75","7,476.38","7,484.34","7,484.34","325,693,000"
"Jul 30, 2025","7,642.25","7,667.56","7,528.13","7,549.89","7,549.89","282,476,700"
"Jul 29, 2025","7,625.79","7,680.19","7,565.79","7,617.91","7,617.91","230,535,000"
